date,Predicted_Appliances
2016-05-27 18:00:00,1090.9333333333334
2016-05-27 19:00:00,830.1666666666666
2016-05-27 20:00:00,726.4333333333333
2016-05-27 21:00:00,453.23333333333335
2016-05-27 22:00:00,366.93333333333334
2016-05-27 23:00:00,322.93333333333334
2016-05-28 00:00:00,309.1666666666667
2016-05-28 01:00:00,315.3666666666667
2016-05-28 02:00:00,298.1666666666667
2016-05-28 03:00:00,302.7
2016-05-28 04:00:00,306.9
2016-05-28 05:00:00,309.6666666666667
2016-05-28 06:00:00,336.76666666666665
2016-05-28 07:00:00,466.46666666666664
2016-05-28 08:00:00,649.1666666666666
2016-05-28 09:00:00,880.8
2016-05-28 10:00:00,1030.0666666666666
2016-05-28 11:00:00,1223.2666666666667
2016-05-28 12:00:00,1049.3666666666666
2016-05-28 13:00:00,945.0
2016-05-28 14:00:00,866.5666666666667
2016-05-28 15:00:00,782.0666666666667
2016-05-28 16:00:00,859.7333333333333
2016-05-28 17:00:00,1099.9666666666667
